Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
5276878;124;46;77;317
5281882;124;46;77;317
5286885;124;46;77;317
5291888;124;46;77;317
5296903;124;46;77;317
5301905;124;46;77;317
5306917;124;46;77;317
5311924;124;46;77;317
5316947;124;46;77;317
5321951;124;46;77;317
5326963;124;46;77;317
5331981;124;46;77;317
5336995;124;46;77;317
5342003;124;46;77;317
5347020;124;46;77;317
5352034;124;46;77;317
5357045;124;46;77;317
5362051;124;46;77;317
5367057;124;46;77;317
5372069;124;46;77;317
5377086;124;46;77;317
5382098;124;46;77;317
5387104;124;46;77;317
5392115;124;46;77;317
5397129;124;46;77;317
5402147;124;46;77;317
5407153;124;46;77;317
5412163;124;46;77;317
5417180;124;46;77;317
5422194;124;46;77;317
5427207;124;46;77;317
5432218;124;46;77;317
5437223;124;46;77;317
5442238;124;46;77;317
5447250;124;46;77;317
5452258;124;46;77;317
5457262;124;46;77;317
5462273;124;46;77;317
5467289;124;46;77;317
5472299;124;46;77;317
5477313;124;46;77;317
5482331;124;46;77;317
5487353;124;46;77;317
5492365;124;46;77;317
5497389;124;46;77;317
5502402;124;46;77;317
5507405;124;46;77;317
5512420;124;46;77;317
5517435;124;46;77;317
5522440;124;46;77;317
5527445;124;46;77;317
5532458;124;46;77;317
5537461;124;46;77;317
5542464;124;46;77;317
5547481;124;46;77;317
5552494;124;46;77;317
5557506;124;46;77;317
5562513;124;46;77;317
5567529;124;46;77;317
5572546;124;46;77;317
5577557;124;46;77;317
5582560;124;46;77;317
5587571;124;46;77;317
5592577;124;46;77;317
5597590;124;46;77;317
5602604;124;46;77;317
5607606;124;46;77;317
5612611;124;46;77;317
5617628;124;46;77;317
5622644;124;46;77;317
5627655;124;46;77;317
5632667;124;46;77;317
5637684;124;46;77;317
5642690;124;46;77;317
5647704;124;46;77;317
5652715;124;46;77;317
5657732;124;46;77;317
5662740;124;46;77;317
5667749;124;46;77;317
5672760;124;46;77;317
5677764;124;46;77;317
5682780;124;46;77;317
5687782;124;46;77;317
5692787;124;46;77;317
5697800;124;46;77;317
5702817;124;46;77;317
5707825;124;46;77;317
5712840;124;46;77;317
5717857;124;46;77;317
5722865;124;46;77;317
5727875;124;46;77;317
5732888;124;46;77;317
5737894;124;46;77;317
5742898;124;46;77;317
5747909;124;46;77;317
5752925;124;46;77;317
5757942;124;46;77;317
5762960;124;46;77;317
5767973;124;46;77;317
5772995;124;46;77;317
5778000;124;46;77;317
5783013;124;46;77;317
5788027;124;46;77;317
5793042;124;46;77;317
5798055;124;46;77;317
5803059;124;46;77;317
5808072;124;46;77;317
5813096;124;46;77;317
